id	Species	Strain	Health	Category	Number
aur_AD	aur	L6	AD	SS	1
aur_AD	aur	AC4	AD	SS	0
aur_AD	aur	AC5	AD	SS	0
aur_AD	aur	AC6	AD	SS	3
aur_AD	aur	194	AD	SS	1
aur_AD	aur	195	AD	SS	5
aur_AD	aur	196	AD	SS	108
aur_AD	aur	276	AD	SS	0
aur_AD	aur	277	AD	SS	0
aur_AD	aur	278	AD	SS	54
aur_AD	aur	358	AD	SS	25
aur_AD	aur	359	AD	SS	8
aur_AD	aur	360	AD	SS	28
aur_AD	aur	370	AD	SS	93
aur_AD	aur	371	AD	SS	42
aur_AD	aur	372	AD	SS	49
aur_AD	aur	197	AD	SS	45
aur_AD	aur	198	AD	SS	0
aur_AD	aur	199	AD	SS	35
aur_AD	aur	280	AD	SS	0
aur_AD	aur	281	AD	SS	0
aur_AD	aur	282	AD	SS	1
aur_AD	aur	355	AD	SS	29
aur_AD	aur	356	AD	SS	31
aur_AD	aur	357	AD	SS	1
aur_AD	aur	365	AD	SS	1
aur_AD	aur	366	AD	SS	0
aur_AD	aur	367	AD	SS	39
aur_AD	aur	N4	AD	SS	0
aur_AD	aur	N5	AD	SS	0
aur_AD	aur	N6	AD	SS	0
aur_HE	aur	200	HE	SS	1
aur_HE	aur	201	HE	SS	0
aur_HE	aur	202	HE	SS	0
aur_HE	aur	317	HE	SS	51
aur_HE	aur	318	HE	SS	30
aur_HE	aur	319	HE	SS	74
aur_HE	aur	322	HE	SS	57
aur_HE	aur	323	HE	SS	62
aur_HE	aur	324	HE	SS	278
aur_HE	aur	327	HE	SS	1
aur_HE	aur	328	HE	SS	1
aur_HE	aur	329	HE	SS	63
aur_HE	aur	332	HE	SS	1
aur_HE	aur	333	HE	SS	105
aur_HE	aur	334	HE	SS	2
epi_HE	epi	Epi_ref	HE	Hypo	689
epi_AD	epi	185	AD	Hypo	776
epi_AD	epi	272	AD	Hypo	743
epi_HE	epi	313	HE	Hypo	638
epi_AD	epi	390	AD	Hypo	804
epi_AD	epi	399	AD	Hypo	741
epi_AD	epi	431	AD	Hypo	744
epi_AD	epi	494	AD	Hypo	775
aur_AD	aur	184	AD	Hypo	848
aur_AD	aur	428	AD	Hypo	818
aur_AD	aur	432	AD	Hypo	964
aur_AD	aur	490	AD	Hypo	802
aur_AD	aur	502	AD	Hypo	786
aur_AD	aur	L4	AD	Hypo	819
aur_AD	aur	L5	AD	Hypo	820
aur_AD	aur	L6	AD	Hypo	819
aur_AD	aur	AC4	AD	Hypo	818
aur_AD	aur	AC5	AD	Hypo	819
aur_AD	aur	AC6	AD	Hypo	821
aur_AD	aur	194	AD	Hypo	849
aur_AD	aur	195	AD	Hypo	853
aur_AD	aur	196	AD	Hypo	937
aur_AD	aur	276	AD	Hypo	778
aur_AD	aur	277	AD	Hypo	773
aur_AD	aur	278	AD	Hypo	812
aur_AD	aur	358	AD	Hypo	968
aur_AD	aur	359	AD	Hypo	933
aur_AD	aur	360	AD	Hypo	954
aur_AD	aur	370	AD	Hypo	821
aur_AD	aur	371	AD	Hypo	818
aur_AD	aur	372	AD	Hypo	821
aur_AD	aur	197	AD	Hypo	871
aur_AD	aur	198	AD	Hypo	849
aur_AD	aur	199	AD	Hypo	858
aur_AD	aur	280	AD	Hypo	772
aur_AD	aur	281	AD	Hypo	772
aur_AD	aur	282	AD	Hypo	779
aur_AD	aur	355	AD	Hypo	953
aur_AD	aur	356	AD	Hypo	965
aur_AD	aur	357	AD	Hypo	939
aur_AD	aur	365	AD	Hypo	804
aur_AD	aur	366	AD	Hypo	805
aur_AD	aur	367	AD	Hypo	826
aur_AD	aur	N4	AD	Hypo	819
aur_AD	aur	N5	AD	Hypo	820
aur_AD	aur	N6	AD	Hypo	818
aur_HE	aur	200	HE	Hypo	798
aur_HE	aur	201	HE	Hypo	799
aur_HE	aur	202	HE	Hypo	797
aur_HE	aur	317	HE	Hypo	1058
aur_HE	aur	318	HE	Hypo	1010
aur_HE	aur	319	HE	Hypo	1059
aur_HE	aur	322	HE	Hypo	921
aur_HE	aur	323	HE	Hypo	926
aur_HE	aur	324	HE	Hypo	1086
aur_HE	aur	327	HE	Hypo	869
aur_HE	aur	328	HE	Hypo	871
aur_HE	aur	329	HE	Hypo	971
aur_HE	aur	332	HE	Hypo	773
aur_HE	aur	333	HE	Hypo	826
aur_HE	aur	334	HE	Hypo	776
epi_HE	epi	Epi_ref	HE	Total	2232
epi_AD	epi	185	AD	Total	2299
epi_AD	epi	272	AD	Total	2272
epi_HE	epi	313	HE	Total	2154
epi_AD	epi	390	AD	Total	2389
epi_AD	epi	399	AD	Total	2275
epi_AD	epi	431	AD	Total	2293
epi_AD	epi	494	AD	Total	2312
aur_AD	aur	184	AD	Total	2629
aur_AD	aur	428	AD	Total	2585
aur_AD	aur	432	AD	Total	2785
aur_AD	aur	490	AD	Total	2585
aur_AD	aur	502	AD	Total	2583
aur_AD	aur	L4	AD	Total	2610
aur_AD	aur	L5	AD	Total	2611
aur_AD	aur	L6	AD	Total	2612
aur_AD	aur	AC4	AD	Total	2609
aur_AD	aur	AC5	AD	Total	2610
aur_AD	aur	AC6	AD	Total	2612
aur_AD	aur	194	AD	Total	2630
aur_AD	aur	195	AD	Total	2634
aur_AD	aur	196	AD	Total	2739
aur_AD	aur	276	AD	Total	2555
aur_AD	aur	277	AD	Total	2562
aur_AD	aur	278	AD	Total	2624
aur_AD	aur	358	AD	Total	2806
aur_AD	aur	359	AD	Total	2759
aur_AD	aur	360	AD	Total	2782
aur_AD	aur	370	AD	Total	2683
aur_AD	aur	371	AD	Total	2628
aur_AD	aur	372	AD	Total	2638
aur_AD	aur	197	AD	Total	2675
aur_AD	aur	198	AD	Total	2630
aur_AD	aur	199	AD	Total	2669
aur_AD	aur	280	AD	Total	2557
aur_AD	aur	281	AD	Total	2558
aur_AD	aur	282	AD	Total	2557
aur_AD	aur	355	AD	Total	2788
aur_AD	aur	356	AD	Total	2803
aur_AD	aur	357	AD	Total	2771
aur_AD	aur	365	AD	Total	2585
aur_AD	aur	366	AD	Total	2583
aur_AD	aur	367	AD	Total	2623
aur_AD	aur	N4	AD	Total	2609
aur_AD	aur	N5	AD	Total	2610
aur_AD	aur	N6	AD	Total	2610
aur_HE	aur	200	HE	Total	2554
aur_HE	aur	201	HE	Total	2555
aur_HE	aur	202	HE	Total	2553
aur_HE	aur	317	HE	Total	2886
aur_HE	aur	318	HE	Total	2855
aur_HE	aur	319	HE	Total	2890
aur_HE	aur	322	HE	Total	2733
aur_HE	aur	323	HE	Total	2746
aur_HE	aur	324	HE	Total	3007
aur_HE	aur	327	HE	Total	2650
aur_HE	aur	328	HE	Total	2653
aur_HE	aur	329	HE	Total	2766
aur_HE	aur	332	HE	Total	2576
aur_HE	aur	333	HE	Total	2685
aur_HE	aur	334	HE	Total	2580
epi_HE	epi	Epi_ref	HE	Vir	0.942973866
epi_AD	epi	185	AD	Vir	0.943909163
epi_AD	epi	272	AD	Vir	0.938922463
epi_HE	epi	313	HE	Vir	0.941847929
epi_AD	epi	390	AD	Vir	0.939754286
epi_AD	epi	399	AD	Vir	0.946843118
epi_AD	epi	431	AD	Vir	0.953030017
epi_AD	epi	494	AD	Vir	0.939790895
aur_AD	aur	184	AD	Vir	0.93520411
aur_AD	aur	428	AD	Vir	0.939050078
aur_AD	aur	432	AD	Vir	0.939813856
aur_AD	aur	490	AD	Vir	0.943280325
aur_AD	aur	502	AD	Vir	0.932521931
aur_AD	aur	L4	AD	Vir	0.932619968
aur_AD	aur	L5	AD	Vir	0.93259477
aur_AD	aur	L6	AD	Vir	0.932619968
aur_AD	aur	AC4	AD	Vir	0.932776349
aur_AD	aur	AC5	AD	Vir	0.932568304
aur_AD	aur	AC6	AD	Vir	0.932834123
aur_AD	aur	194	AD	Vir	0.935407903
aur_AD	aur	195	AD	Vir	0.936006949
aur_AD	aur	196	AD	Vir	0.935125784
aur_AD	aur	276	AD	Vir	0.941809564
aur_AD	aur	277	AD	Vir	0.934294482
aur_AD	aur	278	AD	Vir	0.943061685
aur_AD	aur	358	AD	Vir	0.948132558
