VF_Gene	Comparison	p_value	value	exp_value
spa	aur_AD - epi_AD	0.00327529	-2.120263503	0.120000004
capP	aur_AD - epi_AD	0.00336594	-1.252762968	0.285714286
cap5E	aur_AD - epi_AD	0.003701091	-1.504077397	0.222222222
capG	aur_AD - epi_AD	0.004430132	-0.788457358	0.454545456
fnbA	aur_AD - epi_AD	0.005007611	-2.833213218	0.058823537
capE	aur_AD - epi_AD	0.005533678	-0.980829253	0.375
srtB	aur_AD - epi_AD	0.00614014	-1.280933845	0.277777778
sdrE	aur_AD - epi_AD	0.007381487	-2.708050075	0.066666675
splD	aur_AD - epi_AD	0.007381501	-2.708050073	0.066666675
capC	aur_AD - epi_AD	0.008103924	-0.641853881	0.526315792
sspB	aur_AD - epi_AD	0.010997087	-0.820980552	0.44
isdF	aur_AD - epi_AD	0.013317551	-1.16315081	0.3125
efb	aur_AD - epi_AD	0.013317551	-1.16315081	0.3125
splC	aur_AD - epi_AD	0.014914666	-0.916290732	0.4
essC	aur_AD - epi_AD	0.015820347	-1.041453875	0.352941176
cap5F	aur_AD - epi_AD	0.01666054	-1.252762968	0.285714286
isdD	aur_AD - epi_AD	0.01666054	-1.252762968	0.285714286
capM	aur_AD - epi_AD	0.018717593	-0.944461608	0.388888889
lukE	aur_AD - epi_AD	0.019779001	-1.098612289	0.333333333
eap/map	aur_AD - epi_AD	0.019779259	-1.098612289	0.333333333
capB	aur_AD - epi_AD	0.02105221	-1.386294355	0.250000002
nuc	aur_AD - epi_AD	0.022749421	-0.60077386	0.548387097
sraP	aur_AD - epi_AD	0.023469559	-2.302584963	0.100000013
capL	aur_AD - epi_AD	0.02476865	-1.178654996	0.307692308
splB	aur_AD - epi_AD	0.028408413	-0.829279355	0.436363636
hysA	aur_AD - epi_AD	0.031191764	-1.299282984	0.272727273
isdA	aur_AD - epi_AD	0.037117278	-1.098612289	0.333333333
SAUSA300_1975	aur_AD - epi_AD	0.037609118	-2.120263536	0.12
SaurJH1_0143	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
SAOUHSC_00117	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
sfaB	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
SAOUHSC_00118	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
sfaD	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
aur	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
cap8P	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
SaurJH9_0150	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
cap8E	aur_AD - epi_AD	0.040103915	-1.504077363	0.22222223
essA	aur_AD - epi_AD	0.043985406	-0.534082469	0.586206906
sfaC	aur_AD - epi_AD		-1.011600911	0.363636364
capA	aur_AD - epi_AD		-0.597836999	0.550000001
cap8I	aur_AD - epi_AD		-0.980829253	0.375
ebp	aur_AD - epi_AD		-0.619039208	0.538461539
ebh	aur_AD - epi_AD		-0.271933707	0.761904768
sspA	aur_AD - epi_AD		-0.318453731	0.727272727
chp	aur_AD - epi_AD		-0.693147175	0.500000003
SA1755	aur_AD - epi_AD		-0.693147175	0.500000003
lip	aur_AD - epi_AD		-0.251314428	0.777777778
sspC	aur_AD - epi_AD		0.405465109	1.500000001
sell	aur_AD - epi_AD		-8.37E-16	1
esaB	aur_AD - epi_AD		-17.597837	2.28E-08
cap5G	aur_HE - epi_AD	0.04401836	-0.634306678	0.530303032
capA	aur_HE - epi_AD	0.023529972	-0.788457359	0.454545455
capC	aur_HE - epi_AD	0.002259624	-0.788457355	0.454545457
capE	aur_HE - epi_AD	0.040513681	-0.78845736	0.454545455
capG	aur_HE - epi_AD	0.008177796	-0.788457358	0.454545456
capM	aur_HE - epi_AD	0.031842989	-0.921988752	0.397727273
capP	aur_HE - epi_AD	0.041723627	-0.94260804	0.38961039
chp	aur_HE - epi_AD	0.039933323	-1.299282978	0.272727274
coa	aur_HE - epi_AD	0.000186807	-1.150247405	0.316558442
ebh	aur_HE - epi_AD	0.0000137	-0.878069511	0.415584419
essA	aur_HE - epi_AD	0.004872324	-0.78845736	0.454545455
fnbA	aur_HE - epi_AD	0.00753664	-2.734367379	0.064935073
hlgA	aur_HE - epi_AD	0.000768147	-0.667096503	0.513196481
icaA	aur_HE - epi_AD	0.000659068	-0.693147181	0.5
icaB	aur_HE - epi_AD	0.014469144	-0.510825624	0.6
SA1755	aur_HE - epi_AD	0.039933323	-1.299282978	0.272727274
sak	aur_HE - epi_AD	0.000412996	-1.024846138	0.358851675
sdrE	aur_HE - epi_AD	0.036668673	-2.174751721	0.113636364
sell	aur_HE - epi_AD	0.041722942	-0.94260804	0.38961039
spa	aur_HE - epi_AD	0.000616789	-2.493205419	0.082644631
splD	aur_HE - epi_AD	0.036668673	-2.174751721	0.113636364
sspA	aur_HE - epi_AD	0.033560833	0.885519069	2.424242414
hlb	aur_HE - epi_AD		-0.537142932	0.584415584
essB	aur_HE - epi_AD		-0.621403276	0.537190082
icaR	aur_HE - epi_AD		-0.565313805	0.56818182
hlgC	aur_HE - epi_AD		-0.788457353	0.454545458
lukD	aur_HE - epi_AD		-1.011600897	0.363636369
cap5E	aur_HE - epi_AD		-1.011600912	0.363636364
capL	aur_HE - epi_AD		-1.011600912	0.363636364
sraP	aur_HE - epi_AD		-1.887069649	0.151515152
splF	aur_HE - epi_AD		-0.788457359	0.454545455
essC	aur_HE - epi_AD		-0.78845736	0.454545455
sspC	aur_HE - epi_AD		-1.076139432	0.340909091
SaurJH9_0150	aur_HE - epi_AD		-1.193922435	0.303030313
isdF	aur_HE - epi_AD		-0.78845736	0.454545455
srtB	aur_HE - epi_AD		-0.78845736	0.454545455
capD	aur_HE - epi_AD		-0.634306681	0.53030303
capB	aur_HE - epi_AD		-0.788457359	0.454545455
hysA	aur_HE - epi_AD		-0.78845736	0.454545455
lip	aur_HE - epi_AD		0.464305608	1.590909091
sspB	aur_HE - epi_AD		0.510825619	1.666666659
eap/map	aur_HE - epi_AD		-0.565313809	0.568181818
efb	aur_HE - epi_AD		-0.565313809	0.568181818
icaC	aur_HE - epi_AD		-0.262364264	0.76923077
SaurJH1_0143	aur_HE - epi_AD		-0.788457327	0.45454547
SAOUHSC_00117	aur_HE - epi_AD		-0.788457327	0.45454547
sfaB	aur_HE - epi_AD		-0.788457327	0.45454547
SAOUHSC_00118	aur_HE - epi_AD		-0.788457327	0.45454547
cap8P	aur_HE - epi_AD		-0.788457327	0.45454547
ebp	aur_HE - epi_AD		0.464305609	1.590909092
splC	aur_HE - epi_AD		-0.318453731	0.727272727
SAUSA300_1975	aur_HE - epi_AD		-0.78845736	0.454545455
cap8I	aur_HE - epi_AD		0.310154928	1.363636363
lukE	aur_HE - epi_AD		0.127833372	1.136363637
geh	aur_HE - epi_AD		-0.026317308	0.974025974
nuc	aur_HE - epi_AD		-0.034685558	0.965909091
sfaC	aur_HE - epi_AD		-0.095310179	0.90909091
atl	aur_HE - epi_AD		-0.09531018	0.909090909
sfaD	aur_HE - epi_AD		-0.09531018	0.909090909
aur	aur_HE - epi_AD		-0.09531018	0.909090909
cap5F	aur_HE - epi_AD		-0.09531018	0.909090909
isdD	aur_HE - epi_AD		-0.09531018	0.909090909
cap8E	aur_HE - epi_AD		-0.09531018	0.909090909
splB	aur_HE - epi_AD		-0.09531018	0.909090909
isdA	aur_HE - epi_AD		-0.09531018	0.909090909
hlgB	aur_HE - epi_AD		-0.182321557	0.833333333
hly/hla	aur_HE - epi_AD		-0.200670695	0.818181819
esaB	aur_HE - epi_AD		-18.79175947	6.90E-09
