	184	185	194	195	196	197	198	199	200	201	202	272	276	277	278	280	281	282	313	317	318	319	322	323	324	327	328	329	332	333	334	355	356	357	358	359	360	365	366	367	370	371	372	390	399	428	431	432	490	494	502	AC4	AC5	AC6	Epi	L4	L5	L6	N4	N5	N6
spa	1	0	1	1	1	1	1	1	3	3	3	0	2	0	0	0	0	0	0	3	3	3	1	0	0	1	1	0	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
essB	3	0	3	3	3	3	3	3	0	0	0	0	5	0	5	0	0	5	0	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	0	0	3	0	2	5	0	0	3	3	3	0	3	3	3	3	3	3
capO	2	0	2	2	2	2	2	2	1	1	1	0	0	1	0	1	1	0	0	1	1	1	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	1	1	1	0	1	1	1	1	1	1
icaA	6	1	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	0	6	0	6	6	1	6	6	6	6	0	6	6	6	6	6	6
capG	3	0	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	3	0	3	3	0	3	3	3	3	0	3	3	3	3	3	3
SAOUHSC_00120	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
cap8G	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
cap5G	3	0	3	3	3	3	3	3	2	2	2	0	3	3	3	3	3	3	0	2	2	2	3	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	3	0	2	3	0	3	3	3	3	0	3	3	3	3	3	3
sfaC	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1
icaC	4	1	4	4	4	4	4	4	0	0	0	0	5	5	5	5	5	5	0	1	1	1	4	3	3	4	4	3	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	1	0	4	0	1	5	1	5	5	5	5	0	5	5	5	5	5	5
sbnB	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1
sirA	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
sbnA	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
hlgA	7	0	7	7	7	7	7	7	3	3	3	0	7	7	7	7	7	7	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	7	0	7	7	0	7	7	7	7	0	7	7	7	7	7	7
isdE	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
icaB	6	1	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	0	6	6	6	6	1	1	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	0	6	0	6	6	1	6	6	6	6	0	6	6	6	6	6	6
sec	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
selo	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	2	2	0	2	2	2	2	2	2
seg	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1
seln	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	2	2	0	2	2	2	2	2	2
